OBJECTID1,OBJECTID,COUNT,SHAPE_Length,SHAPE_Area
107,515,3,1999.999937,249999.9842
108,57,1,1999.999937,249999.9842
109,293,1,2000.000593,250000.1483
110,12,1,2000.000593,250000.1483
111,216,1,1999.999937,249999.9842
112,474,1,1999.999937,249999.9842
113,669,2,1999.999937,249999.9842
114,1053,1,1999.999937,249999.9842
115,773,1,1999.999937,249999.9843
116,889,1,1999.999937,249999.9842
117,856,2,1999.999937,249999.9842
118,1091,1,1999.999937,249999.9842
119,937,1,1999.999937,249999.9842
120,730,2,1999.999937,249999.9842
121,591,1,1999.999937,249999.9842
122,1109,1,1999.999937,249999.9842
123,613,1,1999.999937,249999.9842
124,633,1,1999.999937,249999.9842
125,1100,1,1999.999937,249999.9842
126,1072,3,1999.999937,249999.9842
127,911,1,1999.999937,249999.9842
128,770,3,1999.999937,249999.9843
129,956,2,1999.999937,249999.9842
130,970,1,2000.000593,250000.1483
131,626,1,1999.999937,249999.9842
132,681,2,1999.999937,249999.9842
133,996,1,1999.999937,249999.9842
134,926,1,1999.999937,249999.9842
135,645,2,1999.999937,249999.9842
136,883,3,1999.999937,249999.9842
137,629,2,1999.999937,249999.9842
138,833,2,1999.999937,249999.9842
139,1000,2,1999.999937,249999.9842
140,871,3,2000.000593,250000.1483
141,733,1,1999.999937,249999.9842
142,791,1,1999.999937,249999.9843
143,1043,1,2000.000593,250000.1483
144,592,1,1999.999937,249999.9842
145,1121,1,1999.999937,249999.9842
146,1020,1,1999.999937,249999.9842
147,1075,1,1999.999937,249999.9842
148,1082,2,1999.999937,249999.9842
149,790,1,1999.999937,249999.9843
150,700,1,1999.999937,249999.9842
151,843,1,1999.999937,249999.9842
152,855,1,1999.999937,249999.9842
153,1002,2,1999.999937,249999.9842
154,656,1,1999.999937,249999.9842
155,844,1,1999.999937,249999.9842
156,680,1,1999.999937,249999.9842
157,768,2,1999.999937,249999.9843
158,618,3,1999.999937,249999.9842
159,594,1,1999.999937,249999.9842
160,649,1,1999.999937,249999.9842
161,803,2,1999.999937,249999.9843
162,800,2,1999.999937,249999.9843
163,1079,1,1999.999937,249999.9842
164,1090,1,1999.999937,249999.9842
165,864,2,1999.999937,249999.9842
166,1106,1,1999.999937,249999.9842
167,870,1,1999.999937,249999.9842
